id,name,repo,downloads,last_commit,commit_months,archived,licence,open_issues,stars
obsidian-importer,Importer,obsidianmd/obsidian-importer,1614228,2026-08-26,0.2,false,MIT,63,1635
obsidian-outliner,Outliner,vslinko/obsidian-outliner,1382427,2026-06-27,2.2,false,MIT,104,1365
homepage,Homepage,mirnovov/obsidian-homepage,1298968,2026-06-03,3.0,false,MIT,22,711
tasknotes,TaskNotes,callumalpass/tasknotes,1282444,2026-08-29,0.1,false,MIT,462,2090
smart-connections,Smart Connections,brianpetro/obsidian-smart-connections,1180349,2026-08-31,0.0,false,NOASSERTION,490,5419
recent-files-obsidian,Recent Files,tgrosinger/recent-files-obsidian,1174762,2026-07-21,1.4,false,GPL-3.0,22,527
tag-wrangler,Tag Wrangler,pjeby/tag-wrangler,1070970,2026-08-13,0.6,false,ISC,41,926
obsidian-linter,Linter,platers/obsidian-linter,1038282,2026-08-21,0.4,false,MIT,256,2046
obsidian42-brat,BRAT,tfthacker/obsidian42-brat,1009583,2026-08-20,0.4,false,MIT,23,1627
obsidian-admonition,Admonition,ebullient/obsidian-admonition,960359,2026-08-31,0.0,false,MIT,17,1327
notebook-navigator,Notebook Navigator,johansan/notebook-navigator,916451,2026-09-01,0.0,false,GPL-3.0,3,2675
obsidian-livesync,Self-hosted LiveSync,vrtmrz/obsidian-livesync,901957,2026-09-01,0.0,false,MIT,354,12202
obsidian-mind-map,Mind Map,lynchjames/obsidian-mind-map,879212,2024-02-25,30.2,false,MIT,103,1422
obsidian-day-planner,Day Planner,ivan-lednev/obsidian-day-planner,873977,2026-08-06,0.9,false,MIT,161,2700
make-md,make.md,make-md/makemd,861727,2026-07-09,1.8,false,MIT,352,2015
obsidian-advanced-slides,Advanced Slides,mszturc/obsidian-advanced-slides,835433,2024-06-29,26.1,false,MIT,129,1257
advanced-canvas,Advanced Canvas,developer-mike/obsidian-advanced-canvas,788126,2026-08-28,0.1,false,GPL-3.0,4,1506
pdf-plus,PDF++,ryotaushio/obsidian-pdf-plus,754949,2025-08-30,12.1,false,MIT,161,2431
periodic-notes,Periodic Notes,liamcain/obsidian-periodic-notes,749638,2024-08-23,24.3,false,MIT,168,1355
highlightr-plugin,Highlightr,chetachiezikeuzor/Highlightr-Plugin,710489,2023-11-15,33.5,false,MPL-2.0,88,810
obsidian-local-rest-api,Local REST API with MCP,coddingtonbear/obsidian-local-rest-api,701239,2026-08-31,0.0,false,MIT,3,2877
cmdr,Commander,jsmorabito/obsidian-commander,667205,2026-08-28,0.1,false,MIT,108,1205
obsidian-advanced-uri,Advanced URI,vinzent03/obsidian-advanced-uri,643267,2026-08-17,0.5,false,MIT,17,1201
better-word-count,Better Word Count,lukeleppan/better-word-count,609027,2025-06-20,14.4,false,MIT,74,309
obsidian-annotator,Annotator,elias-sundqvist/obsidian-annotator,593944,2024-01-08,31.8,false,AGPL-3.0,272,1771
obsidian-spaced-repetition,Spaced Repetition,st3v3nmw/obsidian-spaced-repetition,588915,2026-09-01,0.0,false,MIT,339,2541
various-complements,Various Complements,tadashi-aikawa/obsidian-various-complements-plugin,577016,2026-08-26,0.2,false,MIT,58,937
obsidian-textgenerator-plugin,Text Generator,nhaouari/obsidian-textgenerator-plugin,576252,2026-08-06,0.9,false,MIT,25,1980
obsidian-hover-editor,Hover Editor,nothingislost/obsidian-hover-editor,572404,2026-08-29,0.1,false,MIT,125,780
obsidian-latex-suite,Latex Suite,artisticat1/obsidian-latex-suite,569851,2026-08-30,0.1,false,MIT,33,2478
obsidian-pandoc,Pandoc Plugin,oliverbalfour/obsidian-pandoc,548723,2024-05-15,27.6,false,MIT,161,908
obsidian-zotero-desktop-connector,Zotero Integration,obsidian-community/obsidian-zotero-integration,546056,2026-03-06,5.9,false,GPL-3.0,258,1757
image-converter,Image Converter,xryul/obsidian-image-converter,516541,2026-08-04,0.9,false,MIT,143,822
nldates-obsidian,Natural Language Dates,obsidian-community/nldates,514041,2026-07-26,1.2,false,MIT,4,10
obsidian-meta-bind-plugin,Meta Bind,mprojectscode/obsidian-meta-bind-plugin,511580,2026-08-22,0.3,false,GPL-3.0,81,1000
obsidian-emoji-toolbar,Emoji Toolbar,oliveryh/obsidian-emoji-toolbar,492667,2026-06-27,2.2,false,BSD-3-Clause,18,255
url-into-selection,Paste URL into selection,denolehov/obsidian-url-into-selection,490766,2025-08-27,12.2,false,NONE,27,447
darlal-switcher-plus,Quick Switcher++,darlal/obsidian-switcher-plus,459430,2026-07-25,1.2,false,GPL-3.0,21,631
obsidian-full-calendar,Full Calendar,obsidian-community/obsidian-full-calendar,457141,2024-11-08,21.7,true,MIT,122,993
obsidian-checklist-plugin,Checklist,delashum/obsidian-checklist-plugin,456931,2025-01-11,19.6,false,MIT,74,482
obsidian-hider,Hider,kepano/obsidian-hider,453034,2026-08-06,0.9,false,MIT,1,575
buttons,Buttons,shabegom/buttons,448275,2025-08-26,12.2,false,Unlicense,17,651
obsidian-enhancing-export,Enhancing Export,mokeyish/obsidian-enhancing-export,441631,2026-08-22,0.3,false,MIT,86,547
folder-notes,Folder notes,lostpaul/obsidian-folder-notes,424991,2026-08-15,0.6,false,AGPL-3.0,45,735
obsidian-memos,Thino,quorafind/Obsidian-Thino,420361,2026-08-22,0.3,false,NOASSERTION,74,1361
terminal,Terminal,polyipseity/obsidian-terminal,405785,2026-08-22,0.3,false,AGPL-3.0,22,931
obsidian-auto-link-title,Auto Link Title,zolrath/obsidian-auto-link-title,379257,2024-12-15,20.5,false,MIT,90,697
media-extended,Media Extended,aidenlx/media-extended,370997,2026-06-07,2.8,false,NONE,44,952
obsidian-tracker,Tracker,pyrochlore/obsidian-tracker,361096,2026-04-13,4.6,false,MIT,217,1950
oz-image-plugin,Image in Editor,ozntel/oz-image-in-editor-obsidian,356927,2024-02-10,30.7,false,NONE,11,376
file-tree-alternative,File Tree Alternative,ozntel/file-tree-alternative,347713,2024-06-22,26.3,false,NONE,121,602
obsidian-banners,Banners,noatpad/obsidian-banners,347387,2024-01-18,31.4,false,MIT,118,811
easy-typing-obsidian,Easy Typing,yaozhuwa/easy-typing-obsidian,344287,2026-07-12,1.7,false,MIT,58,762
note-toolbar,Note Toolbar,chrisgurney/obsidian-note-toolbar,342863,2026-08-31,0.0,false,GPL-3.0,7,771
note-refactor-obsidian,Note Refactor,lynchjames/note-refactor-obsidian,341706,2024-01-22,31.3,false,MIT,91,643
excalibrain,ExcaliBrain,zsviczian/excalibrain,334748,2026-05-31,3.1,false,MIT,147,991
mermaid-tools,Mermaid Tools,dartungar/obsidian-mermaid,333478,2026-06-14,2.6,false,MIT,7,327
obsidian-quiet-outline,Quiet Outline,guopenghui/obsidian-quiet-outline,327845,2026-08-07,0.8,false,MIT,18,582
metadata-menu,Metadata Menu,mdelobelle/metadatamenu,327208,2026-02-11,6.6,false,MIT,231,725
obsidian-reminder-plugin,Reminder,uphy/obsidian-reminder,325814,2026-08-30,0.1,false,MIT,77,655
datacore,Datacore,blacksmithgu/datacore,324047,2026-06-22,2.3,false,MIT,79,2231
text-extractor,Text Extractor,scambier/obsidian-text-extractor,323824,2026-04-24,4.3,false,GPL-3.0,23,636
better-export-pdf,Better Export PDF,l1xnan/obsidian-better-export-pdf,323709,2026-08-23,0.3,false,MIT,112,726
obsidian-5e-statblocks,Fantasy Statblocks,obsidian-ttrpg-community/fantasy-statblocks,322696,2026-01-21,7.3,false,MIT,54,481
obsidian-charts,Charts,phibr0/obsidian-charts,320903,2024-06-19,26.4,false,AGPL-3.0,78,803
breadcrumbs,Breadcrumbs,michaelpporter/breadcrumbs,313894,2026-08-26,0.2,false,MIT,1,816
obsidian-leaflet-plugin,Leaflet,javalent/obsidian-leaflet,308839,2025-07-09,13.8,false,NONE,50,711
obsidian-languagetool-plugin,LanguageTool Integration,clemens-e/obsidian-languagetool-plugin,305591,2026-08-26,0.2,false,AGPL-3.0,16,570
file-explorer-note-count,File Explorer Note Count,ozntel/file-explorer-note-count,291733,2025-09-22,11.3,false,NONE,19,153
pretty-properties,Pretty Properties,anareaty/pretty-properties,280168,2026-08-30,0.1,false,MIT,53,342
obsidian-dice-roller,Dice Roller,obsidian-ttrpg-community/dice-roller,279783,2025-03-24,17.3,false,NONE,76,342
